,DISCREPANCY
3721,admin install red blade pitch horn assembly.
13965,admin remove black tip cap to facilitate blade turn in
1552,lh mlg maintainer strut is out of rig.          
2359,rh mlg maint strut broken          
25420,yellow damper quick disconnect safety wire is uninstalled. mrc-350 card 59.          
25419,blue main rotor spindle weight block loose.          
8291,mrh accumulator low
9292,remove and replace component nomenclature main rotor head damper assy;  part no: 70106-28000-048;  serno: a221-04471;  pos cd: black          
24426,mrh reads red          
6300,blk droop stop heater pin safety wire broken          
3364,lh ob mlg tire (ob bearing) retaining ring worn          
2292,remove mrh accumulator to facilitate other maintenance. re-install when notified by maintenance control.          
26416,incorrect safety wire on red blade to centering socket          
21865,washplate expanable pins worn          
6616,mrh accum low.          
20398,main rotor head hydraulic side low.
21346,blue spindle shoulder id measurements out of limits.          
3212,rh nose landing gear tire is worn beyond limits.          
15691,mrh accumulator low.          
24678,remove main rotor head damper accum.  reinstall when notified by maint control.
13447,red mrb anti flap worn          
11068,fwd and aft spherical bearings have excessive play.          
22057,mrh accumulator low          
2903,righ hand inboard and outboard tire pressure low.          
4105,rh nlg tire worn beyond limits          
2933,rh inboard mlg tire has skid mark worn beyond treds.          
11213,main rotor head accum low          
15528,remove and replace component nomenclature main rotor head damper assy;  part no: 70106-28000-048;  serno: a221-03319;  pos cd: blue.  component hours: 666.8.  aircraft time now: 1599.3; time due: 1632.5; nlt:1702.5.          
12187,worn hardware yellow mrh damper.          
6104,mrh accumulator low          
7922,mrh accumulator hydraulic fluid level gauge is malfuctioning.
866,rh ib tire out of limits          
27908,install outboard tail rotor blade.
24390,black inboard pcl bearing has metal showing.          
24302,main rotor head accumuator fluid low          
16109,tear in black tail rotor paddle boot.          
25171,black lower centering socket loose .          
14549,perform tail rotor balance and health.          
17114,3 degree bias out of limits.          
582,rh mlg ib brake bleeder valve has minor surface corrosion. dd:21aug2018
471,right hand main laning gear inboard and outboard tired require pressure.          
27013,mrh low
3842,rh ob mlg brake assy. is worn. multiple brake pistons have a gap less than 0.010. limitation per items task  states minimum clearance for brake piston needs to be greater than 0.010.          
27272,mrh accumulator low
25435,hole blue tail rotor boot.          
4100,blue blade bim indicator black.
3478,red main rotor head tip cap screws worn
16289,tail rotor balance ool          
9367,yellow tail rotor pcl inner bearing safety wire broken.          
5940,red inboard and yellow outboard damper mount bolts failed initial 9-13 torque checks.          
776,"lh ob mlg wheel/tire assembly has a cut in the sidewall that exceeds 4/32"". ** update: 3/32""**"
9498,yellow blade tail tip cap rivet on leading edge is worn.
14006,the mrh hyd accumulator reads red.          
3672,install pitch beam
21463,aft scissors worn beyond limits          
18582,yellow damper gouged          
13034,mrh reads red          
22224,"blue mrh spindle pitch lock housing h/w safety incorrect in ""losing direction"".          "
16044,remove and reinstall yellow blade when notified by maintenance control.          
1853,landing gear isolation valve f(p) with landing gear control unit f(p). codes as follows: id)4ac2 1)2107 2)oof9. **********t/s down to bad landing gear isolation valve using task '2921f8fi'************
11934,"cracks found on black main rotor spindle elastomeric and thrust bearing, no cracks allowed. card d-120          "
23788,aft scissor has up and down play.          
224,"disconnect and raise main rotor head accumulator to facilitate retorque of zone 2. reconnect, install, and service main rotor head accum when notified by maint control.          "
13119,black mrh spindle zip ties loose.          
16477,mrh fluid level low.
1519,outboard retention plate scraper seal worn
6338,black pcr upper and lower rod ends not cotter keyed. no fod found. for aircraft fod inspection refer to mcn: 00jd0v0.          
7483,main rotor head hydraulic fluid low.
8748,the blue mrb lower centering socket is loose          
13942,mrh hyd accum low. at 2nd d in add          
26713,red upper centering socket worn          
6596,red main rotor blade tip cap screws worn.
1108,rh nlg tire has puncture from rock which is protruding from the tread.          
14441,black and yellow damper hose quick disconnect cracked
24988,perform tail rotor bias check due to phase. make cf req if adjustments are made.          
13326,aft scissor upper bushing gouged beyond limits. limit is none allowed          
7623,mrh vibrations ool          
23499,card 47.1- main rotor head acc is reading low.          
13512,mrh accumulator low.          
5063,main rotor head low
719,rh ob mlg tire wheel assy has a gouge deeper than 5/32.          
21402,main rotor head out of limits          
1445,rh ob mlg tire worn behond limits
12968,main rotor head accumulator low.          
23528,inflight 140 kt out of limits work order initiated for pcr adjustment documentation.          
5823,cracked qd on red damper (abcd-14)          
18965,red spindle journal bearing corroded out of limits card 120          
6884,"fom by removing tr brush block for tgb replacement mcn 00jc8ny, re-installed when new tgb installed or w/n/b/m/c.          "
21800,main rotor head accumulator hydraulics in the red.          
9388,black inboard damper bearing worn out of limit          
16372,remove black damper support bracket to facilitate other maintenance. re-install when notified by maintenance control.          
20306,aft scissor assyembly has vertical play.          
27784,install yellow tail rotor pitch control link
4764,admin removed and replaced black main rotor lower #6 tip cap screw.
3620,"red, black and yellow tail rotor boot worn"
817,found lh nlg tire to be out of limits.
11524,main rotor head in-flight vibes out of limits.          
24518,"aft scissor, upper link axial play ool. will need to be removed, inspected and re-shimmed.          "
13986,black main rotor head e-bearing gouged card d-120          
9657,lead stop on red spindle worn ool. ref:a1-h60ca-mrc-400 #121.7.
2079,left hand main landing gear inboard and outboard tires require pressure.          
25115,"card 47.1- mrh acc low, reading in red.          "
16422,blue outboard damper bearing worn out of limits.
5843,mrh final ground vibes ool          
27778,remove {black} mrb assy s/n: a237-05180 for level iii preservation. install when notified by maintenance control.
34,black blade spindle zip ties loose.
15206,mrh auto ool          
18915,no safety wire on black spindle harness bracket securing fold limit switch.          
12791,red damper line chafing. abcd-17.          
5704,"gouge in zone b of blue t/r blade, leading edge area."
17656,yellow and blue pitch lock housings are incorrect positions.          
16277,worn main rotor shaft nut. jesus nut pay back to hsm-70 for atcs delay.          
26147,low mrh          
14427,main rotor blade bolt insert failed run on torques at the 9 o'clock position          
26647,aft upper scissor bolt ool.          
23632,outboard retention plate has arc burn mark from lightning strike          
3663,red blade pitch lock actuator seized.          
16124,main rotor head accumulator servicing low          
5040,left hand bottom corner of the lgcu is chipped.
7537,admin remove tip cap.
16239,yellow tail paddle boot zip ties loose          
14861,hardware securing tail rotor pitch beam nut worn.          
24633,yellow mrh spindle teflon sleeve worn ool.          
17167,main rotor head accumulator low          
21048,yellow paddle boot has small tear. card: 11.12          
25078,black weight bracket bolt thread is rubbing against the yellow blade. card 64.          
3168,black t/r boot has hole          
2067,replace rh nlg tire due to lighting strike          
4833,rh nose tire is worn past limits.
24648,"mrh accumulator fluid low,  refer to mcn: 27bcxmf, jcn: qy1345264 for excessive leakage          "
22299,tail rotor balance vibration out of limits.          
1979,mrh low          
5253,worn washers on blue fold hinge
25178,original:  1m6v7me.  perform post phase/ imp/ pmi ground vibes.          
12826,all antiflap hardware worn.          
24971,worn upper centering socket on black spindle. d-119          
17890,ylw mrh droop stop is chipped out of limits
749,mrh accumulator low.          
3888,main rotor head low.          
8371,all main rotor head damper qd's not saftey wired
9319,nicks shown on bifilar washers abcd-23.2 step 4.1          
10692,tail rotor indexer not engaging.
6202,worn black droop stop          
133,lh nlg tire tread not within 1/4 inch of rh nlg tire          
27532,d-112: yellow damper bolts worn
4310,rh nlg tire out of tollerance per 04-10-506          
1165,main rotor head accumulator hyd side red          
26501,main rotor head low. current position is bottom of low green and 1500psi.          
22179,black paddle pivot bearing worn. card 70.3
10597,blue main rotor blade delaminating outboard of blade cuff.          
22707,hole in blue tail paddle boot          
1564,lh ob mlg tire is off rim.
11814,mrh accumulator low          
1363,rh nlg tire is worn beyond limits          
2126,aft scissor bearing worn.          
26848,hole in blue tail rotor boot.
9746,(first fail) 9-13 zone 2 torque checks failed.          
20497,yellow mrh damper bearings ool. **inner bore measured ool**
7423,service mrh acumilator. due to deservicing for ae stovepipe installation.          
26703,blk outboard damper bearing worn ool          
1355,rh nose landing gear tire worn
25263,all hinge lock arms assy. have no torque stripe.          
18398,black spindle zip tie loose          
1470,main rotor head ool          
22591,main rotor accum low hyd side          
21587,mrh low          
19155,main rotor head accumulator mount bolts worn.          
11233,blue damper outboard piston o-ring protruding.
15276,black inboard tail rotor pcl jamnut locktab teeth are not seated properly.          
10158,centering socket adjustment bolt nuts are worn ool. ref: a1-h60ca-mrc-400 card d-119.1
20778,black spindle has weight on lower weight bracket.          
17049,mrh damper accummulator hyd side low          
14107,main rotor head centering sockets worn card d-119.1          
4775,perform jack and cycle for nlg torque tobe
19545,scir change:  00jdu4o.  yellow blade blade fold actuator motor seized          
1309,perform ground vibes do to removal and re-installation of outboard retention plate bolt.          
25381,mrh vibes out of limits  all in flight regimes          
3828,mrh reads red          
20654,autos are out of limits.  115 target / 112 actual          
13724,main rotor swashplate aft scissor lateral and radial play          
26688,small hole in red tr boot
20505,yellow blade cuff to spar bolts corroded. ccdd: 19018          
19142,3 degree tail rotor bias ool          
24492,main rotor head accumulator red.          
4686,rh ob mlg tire has a flat spot that is worn out of limits          
7907,mrh accum low
3639,remove and replace component nomenclature main rotor head damper assy;  part no: 70106-28000-048;  serno: a221-04940;  pos cd: yellow          
18265,hi time: yellow blade tip cap lower #6 screw (s/n 09175-low)
2158,lh nlg tire is cut out of limits          
13202,mrh will not auto fold
21831,mrh accumulator low. a/c time now: 1645.7          
2821,remove and replace rh ob mlg wheel/tire assy
2659,all six aircraft tire pressures low
4887,lh ib brake has less than 0.010 inch of clearance between brake piston and first carbon plate. requires to be cleaned.***performed cleaning on brake. still did not pass clearance check. needs replacing***
4311,r nlg tire worn beyond limits          
2195,gouge in lh nlg tire found out of limits
24804,expandable pins worn out of limits. (parts doc swapped from a/c 34 to 35 for payback parts)          
3398,black blade nickel abrasion strip on the bottom side of the blade just aft of the laminate patch is delaminated.          
23859,red pcr failed clamp up check.          
2235,remove tail paddle to facilitate 9-13 on inboard retention plate. install when notified by maint control.          
322,blue main rotor damper bearings worn out of limits. mrc-400 card d-112          
315,mrh accum low          
26184,main rotor head fluid level is low.          
17662,red elastomeric bearing endplate gouged ool          
369,nose landing gear drag strut worn          
5145,nose landing gear lh door aft bushing working
5039,biological fod is present throughout lh mlg bay.
20063,mrh accumulator in red          
28041,install black main rotor pitch control rod.
8066,mrh hyd low
20687,scissor play on forward scissor
571,remove yellow blade to facilitate other maintenance.          
8077,loose lower centering socket on blue spindle.
8108,scir change:  1xln0fx.  bmdd: 31oct19 bare metal on leading edge of black blade near the center.
8938,broken safety wire on red blade lower centering socket.          
15325,mrh accumulator hydraulic pressure is low.          
1072,mrh vibes ool.
26876,yellow tail rotor padel boot has a tear          
4353,mrh hyd fluid low.          
11828,red damper elbow sealant cracked.  mrc-300. card 24.5.          
22348,service main rotor head accumulator.          
23798,red lower pcr bolt gouged. circumferential score mark limit is .001          
10656,mrh  in the red
13743,black upper centering s. worn out of limits. card 23.          
17410,main rotor head accumulator servicing low          
12766,tail rotor outboard retention plate pilot bushing worn out of limits.          
15322,inflight vibes out of limits.          
21116,yellow mrh blade de-ice harness not secure
9438,main rotor head accumulator servicing low
10379,mrh in-flight vibes out of limits.
22112,damper bolt and bearing worn ool. (b-101.1)          
2624,tail balance and health ool.          
22399,main rotor head is low. a/c time now: 1482.9
13499,remove and replace black tip cap as matched set          
446,left hand and right hand nose landing gear psi low. right hand 225 psi and left hand 250 psi          
2100,mrh accumulator hyd level low.          
120,main rotor head fluid level low.          
4156,rh ob brake caliper cracked in the upper right position          
13010,black tail rotor blade boot torn.          
2623,rh wheel inboard bearings worn          
364,lh nlg tire worn beyond limits
15147,red tail rotor paddle boot has a hole.          
1848,lh ib mlg tire worn beyond limits          
22771,red blade fold acuator siezed.          
2739,tail rotor black blade boot has hole
22191,yellow blade fold switches out of alignment. yellow blade hit black blade lower weight bracket.
7109,perform post pmi ground vibration analysis.
12600,blue mrh blade bottom lock pin puller safety wire broken. *update* upon further inspection broken safety wire found on upper lock pin puller.          
9282,tail rotor ool          
9928,all four ptich lock actuator gaskets are torn.          
16368,remove blade deice distributor to facilitate mrh accumalator servicing. reinstall when notified by maint. control.          
11616,yellow fold hinge gear assy bearing cracked          
2830,inflight mrh vibes ool          
12514,auto rotation ool          
12842,blue spindle fold hinge gear bearing is cracked          
7806,mrh accum fluid low
1288,left hand outboard main landing gear tire is worn beyond limits
19092,cannibalized item: anti flap a1-h60ra-150-400 fig3 it54 (ddsn: 8350g716) for modex 701 original mcn: 16plsf3          
226,yellow lockpin housing seals worn. card d-121.6          
25597,graphite mesh showing on black blade tip cap around #1 screw.          
26977,red and yellow t/r inboard pcl rod ends worn ool card: 70.2
2211,main rotor head accumulator hyd low.
11467,aft scissor bearing ool.          
19710,mrh accum is low.          
18252,yellow spindle outboard damper lug measurement ool          
11575,scir change:  1xllt10.  remove and replace component nomenclature main rotor head damper assy;  part no: 70106-28000-048;  serno: a221-03452;  pos cd: blue          
20099,main rotor ground out of limits          
11489,main rotor autos ool.          
26261,fwd and aft mrh swashplate scissor assemblies have excess up/down play          
18201,during phase inspection found all tail rotor outbaord retention plate nuts fail drag tq.          
7709,low mrh accumilator time now 1556.8
3700,"lh nlg tire worn more then 1/4"" circumference from rh nlg tire"
1136,main rotor head accumulator low 1600/ red          
20164,pitch beam retaining nut set screws worn.  ac-70.1
24279,install all main rotor blades.          
25627,the yellow tail rotor blade erosion strip is missing.          
13807,black pitch lock mounting gasket worn          
5058,hole in black tail rotor boot
19103,hole in blue tail rotor boot
26920,mrh accumulator low. sitting at red at 1300 psi. oat is 10 degrees celsius.
3991,blue/black/yellow tr blade tip cap rivets worn. abcd-13.9
1386,rh outboard mlg tire worn beyond limitations.
17154,blue tip cap screws stripped.          
1321,red tail rotor paddle boot torn on prior repair with sealant.          
1904,mrh accumulator low.
15190,perfrom tailr rotor vibration optimization.          
15720,yellow mrb tip cap #6 screw worn.card bd-95          
1961,left main landing gear interface assembly is worn beyond limits          
16573,remove and replace #6 location top and bottom tip cap screws on main rotor blade due to high-time. tip cap s/n: b849-16931 (red).
233,remove and reinstall landing gear control unit for troubleshooting
14402,yellow blade damper inbd bearing ool. a/c hrs 391.3.          
11056,remove and reinstall black blade.          
5150,yellow blade damper hydraulic line is leaking.          
9164,mrh vibes ool
22724,mrh accum red.          
11984,missing torque stripe yellow and blue lockpin crush washer hardware.          
6850,multiple tail rotor tip cap rivets corroded out of limits on all 4 blades.          
6852,scir change:  1gtinlg.  fom beanie.
16790,hole in black trb boot. see mrc-300 card 11.12.          
16298,torque stripe on yellow blade fold hinge lock arm bolt broken.
2323,right inboard main landing gear tire worn bc of flat spot          
22465,black main rotor spindle stress band disbonding. no repair criteria or o level repair capability. requires replacement of spindle.          
1143,torque stripe on blue cam lock follower broken.          
23566,yellow blade upper centering socket broken safety wire          
18521,mrh low 999.6          
17728,blue tail rotor abrasion stripe torn          
9378,remove black blade blade for pmi induction          
1251,main rotor damper accumulator fluid low          
26914,"remove red main rotor blade to fom, resintall when directed by m/c          "
9622,trb blue boot has a hole marked location on boot card 11.12 daily          
5080,yellow damper elbow loose. needs to be re torqued. mrc-350 card: 64
12808,mrh accumulator low.          
4752,main rotor head accumulator low
2891,lh outboard brake failed running clearance test          
5480,perform tail rotor bias due to removal and replacement of black tail rotor paddle.
24574,main rotor head accumulator fluid side low.          
7957,black droop stop worn ool
179,landing gear control solenoid valve fcc 3 f(p)*** update t/s down to landing gear control valve module***          
9134,da low
4311,remove and re-install beenie when directed by maintenance control to faciliate the full bleed and service of mrh during phase 'b'.
16276,remove and install black main rotor blade tip cap as matched set.          
2298,main rotor head hydraulics overserviced.          
24286,"remove pitch beam, reinstall when directed by maintenance control"
17010,red pitch control rod improperly installed          
22873,mrc-100 card 47.1 mrh accum hydraulic side overserviced/ peg out          
1688,lh nlg tire change as match set          
9515,black blade inboard and outboard damper bearings fail 30 hour check.          
1850,nose landing gear strut underserviced.          
716,lh nose wheel tire has chunks coming off of it
6580,tail rotor ool.          
1209,perform pretrack on mrh black blade when notified by maintenance control.          
6570,d-114.2. yellow damper hose worn          
17310,final mrh grounds ool          
2128,right hand inboard main landing gear tire has no tread.          
5876,blue blade damper leaking hydraulic fluid.          
4340,ac discharged emergency blow down bottle          
22864,mrh accumulator low.          
3507,main rotor head accumulator is low.
3003,nose landing gear shock strut has hydraulic fluid in hike chamber with an amount greater than 3cc
21892,mrh ool          
11002,aft scissor bushing worn out of limits.          
1022,mrh accumulator fluid low.          
3065,no torque stirp on blue pcr top bolt.          
7600,yellow blade tip cap attachment lip is delaminated beyond repair limits. card bd 95.1
17699,yellow spindle bottom centering socket loose.          
16418,blade deice harness worn          
14539,mrh ool.          
152,perform tail rotor 3 degree bias due to replacement of the pcl's.          
3534,remove mrh beanie (inpro) reinstall when notified by maint control.
2563,"black tip cap on top surface mount hole 1, 3, 5 wire mesh broken          "
15778,worn t stripe on yellow blade lower mrh pcr bolt          
4120,red tail rotor de-ice harness severed
5263,blue mrb blade popped from droop stop three times.
5084,right hand outboard tire [worn beyond limits]
11307,tear on the yellow blade tail rotor boot.
5658,abrasion strip on red rotor paddle desbonding. mrc-350. cd 18.5          
14134,remove out board retention plate to fom the 9-13 hour torque checks on the inboard ret plate. reinstall when notified by maint control.
16999,red mrh spindle zip ties loose.          
6319,black inboard damper bearing ool
4120,lh outboard mlg tire tread worn beyond limits          
27560,tail rotor bias ool.
4392,mrh accumulator low.          
22032,mrh hydrulic oil level low (red) card 47.1 ta          
1704,yellow damper leaking out of limits          
23435,"fwd, aft and lat swashplate expandable pins require torque stripe.          "
18455,mrh lower pressure plate fails tq check. abcd-23.4          
3241,rh brake bleeder valve worn          
22806,tail rotor ool          
5372,yellow elastomeric bearing outer journal bearing gouge out of limits. d-120          
19148,black blade fold harness torn. card d-112.          
17948,forward scissor bearing worn mrc400 card 23.4
10149,perform 3 degree bias due to 9-13 hr retorque on inboard retention plate. mark check flight required if adjustments are made.
18004,d-119 blue droop stop worn ool.
23051,fwd and aft scissor spherical bearing has incorrect cotter key          
13226,safety red centering socket          
16361,main rotor head accumulator is low on pressure side. (1300 psi)
7171,main rotor head is low. a/c time now:1143.3
16979,perform ground vibe analsys for tail balance and tail pylon sigs due to adjustment of cable tensions          
867,nlg power steering unit pressure line shows evidence of leakage from bnut weep hole.
6302,fwd scissors has excessive axial play.
901,mrh ool.          
2687,red blade pitch lock harness bonding jumper hardware loose.          
5339,mrh ground vibes out of limits.
2254,found the left hand main landing gear outboard brake to be seized
21759,black spindle nut shims worn. mrc-400 card d-121          
19889,main rotor head accum low          
26506,mrh inflight vibes ool          
1614,yellow outboard main rotor head damper bearing is worn out of limits.          
11217,remove tail rotor indexer to faciliatet the removal of the tail gear box.          
11632,main rotor head accumulator hydraulic fluid low.
2824,lh ib mlg tire is worn out of limits per the navair 04-10-506          
13318,"found bad piston seal on main rotor head accumulator, needs replacement.          "
13600,remove all lower pcr bolts reinstall when notified.          
12831,main rotor auto ool. target value was 116 percent actual was 111 percent.          
3072,lh ob mlg brake assy. is worn. multiple brake pistons have a gap less than 0.010. limitation states minimum clearance has to be greater than 0.010.          
27301,main rotor yellow lower pcr bolt s/n incorrect.
27562,corrosion on blue blade fold harness jumper hardware
20173,boots on black/blue paddle torn.          
25184,mrh hydraulic side low.          
13602,main rotor vibes out of limits          
476,lh ob mlg tire is worn passed limits.          
7030,main rotor head in flight vibrations ool.          
2043,main gear box pdi popped.          
10686,main rotor head yellow damper worn.          
7832,aft scissor lower link bushings worn ool card abcd-23.5
589,"damper bearings worn on black both ends, blue inboard, and yellow outboard.card d-112          "
24559,mrh accumulator red.          
4270,nlg torque tube hardware worn
6365,fwd and aft scissor h/w worn. card abcd 23.          
22609,mrh accumulator level is low ( red)          
19083,main rotor accumulator fluid low.          
7099,main rotor head low          
22712,low mrh accumulator
4867,worn coupling on main rotor accumulator hose
10297,"red damper leaking. wiped off hyd fluid, waited about 15 minutes. hyd fluid reappeared on damper and leaked onto ocu panel.          "
21901,blue main rotor blade #6 tip cap screw worn. bd: 95          
10845,t/r blade black side pivot bearing with heavy eraser-type extrusion on shims.          
2744,nlg hike valve does not hold pressure
10988,red upper pcr bolt worn.          
4018,part was recieved nrfi from depot level.
5250,mrh accumulator reads red
2110,all tires read low psi.
3499,nose landing gear tire pressures low
20536,remove and replace component nomenclature main rotor head damper assy;  part no: 70106-28000-048;  serno: x221-01239;  pos cd: red
18819,black damper mount bolts worn          
3738,right hand outboard main landing gear tire worn out of limits.          
2386,rh ib mlg tire worn beyond limits.          
9903,remove mrh slipring. r/w/n/b/m/c          
3216,nlg shock strut does not hold servicing          
21771,blue main rotor blade tip cap is delaminated at corner end.          
24671,remove and replace #6 location top and bottom tip cap screws on main rotor blade due to high-time . tip cap sn: b849-14458 (red).          
16942,mrh damper accumulator gage on red at the time of inspection.          
19698,inboard and outboard black damper mount bolts scored.          
19035,main rotor head in flight vibes are ool
1349,main rotor head fluid red          
1228,main rotor head low          
3057,left hand main landing gear door strut interface assembly gap check during 140 hour inspection was out of limits.          
14267,remove main rotor head dampers. in process. reinstall when notified by maintenance control.          
16218,main rotor foward scissor out of limit.          
5645,scir change:  2ln3n19.  yellow blade did not auto fold. had to use cheater box          
2492,found lh valve stem damaged.
1225,tail rotor outboard retention blate pilot bushing is worn out of limits          
10370,perform post phase ground vibes.          
23639,black main rotor blade upper and lower no.6 tip cap screws. card bd-95          
751,right hand outboard main landing gear tire leaking air
27044,"perform post phase ""a"" ground vibration analysis."
19931,main rotor head ool          
1077,torque tube worn beyond limits          
8524,mrh accum fluid low          
1636,landing gear nosewheel power steering posted fail multiple times before landing.          
613,yellow blade fold harness pitch lock switch does not work.          
21616,remove tail rotor paddles for replacement of tail rotor servo.  reinstall w/n/b/m/c          
18732,main rotor head grounds out of limits          
15975,mrh vibes ool          
5449,aft scissors have play. mrc-300. cd 24.
8375,cannibalized item: tail rotor blade positioner actuator (ddsn: 9254g686) for modex 32 original mcn: 26xjng6
9809,yellow blade bim inoperable          
13493,main rotor head out of limits at 120knt 140knt and vh          
2264,mrh fluid low          
11278,adjust red and yellow pitch control links due to 3 degree bias ool.          
6357,upper centering socket on black spindle is loose.          
15696,fom pitch beam          
16517,mrh low.
15515,(ac-70.1) tail rotor outboard retention plate pilot bearing worn out of limits.          
19254,"main rotor head hydraulic fluid level indicating low, in red.          "
19835,lateral blade fold transducer installed upside down.          
22333,tail rotor 3 degree bias out of limits on all four blades
3247,lh mlg lp servicing is low. limit is 840 and pressure is at 500          
10615,perform mrh rig check due to removal and replacement of forward and aft bridge.          
15929,worn mrb yellow tip cap #8 upper screw. abcd-17          
6851,tail rotor boot on blue paddle torn.
254,blue elastomeric bearing separation out of limits.          
4961,removed for cann for a/c 24. currently on det server can not be cut properly.  install new componet
4264,blue fold hinge gear assembly bearing is cracked. ref: a1-h60ca-mrc-400 card d-121.
12431,mrh accumulator is overserviced with pressure at 1800 psi. card 47.1          
3461,main rotor head accumulator hydraulics low.
22956,remove blue mr blade          
21137,main rotor head in-flight vibes out of limits.          
7665,empty hyd and nitrogen main rotor head accum.          
18360,tail rotor red blade boot holes          
8337,main rotor head does not index.
4883,"during blade fold, mrh will not index."
21748,remove yellow main rotor blade damper to facilitate the removal of the yellow main rotor lower hub liner. reinstall when notified by maintenance control.          
22717,deice harness red and yellow centering socket adel clamp loose          
1809,outboard retention plate bushing  diameter out of limits          
23624,yellow paddle boot unsecured. sliding from underneath ziptie.          
24344,black main rotor blade lockpin pullers extended.          
129,remove blue damper. reinstall when directed by maintenance control.          
1866,rh mlg door strut (901-036-503-161) is worn beyond allowable limits          
20704,worn teflon cloth liner on black blade centering socket. mrc 400 card 119.1          
8963,perform post phase and 30 day no fly ground vibes. card abcd-30-30.1.          
15986,all 4 blades hinge lock bolt missing torque stripe.          
4188,mrh accumulator low
18808,mrh accumulator low.          
23155,mrh low          
16491,red tail rotor boot torn
14244,perform tail rotor 3 degree bias
23595,red blade tip cap attachment lip is delaminated beyond repair limits. card bd 95.1
11216,yellow spindle hardware worn          
18888,blue mrh damper leakinig from female qd.          
685,fwd scissor upper bolt has excessive side to side movement
22138,main rotor head accumulator over serviced. mrc-100 step: 47.1
18071,main rotor head accumulator low.          
21659,"remove anti-flap assembly (blue) as part of a matched set, due to rmv of spindle assembly.          "
17957,"tr bias 3 degrees ool found during tr bias inspection mcn 00jcnol and jcn qg0064491, need adjustment          "
3563,mrh accumulator low
22434,mrh accum low          
3961,nose wheel steering actuator f(p) in flight causeing nose wheel to not center preventing landing gear to not come up.  ***troubleshot down to internal fail of nose wheel steering actuator***          
12781,red outboard damper out of limits.          
6733,tip cap rivets found in red and yellow tail rotor blades.
21816,red e-bearing ool (thrust bearing extrusion) d-120.1          
22788,red and black tail rotor abrasion strips torn. card 70.2          
15470,tail rotor out of limits          
19389,remove and replace component nomenclature main rotor head damper assy;  part no: 70106-28000-048;  serno: a221-05115;  pos cd: black***when due: a2629          
7521,worn yellow upper and lower  lockpin bearings. iaw mrc-400 card d-121.1
13108,blue blade bolt has gouge          
17365,red blade have cracked on bottom section aft of cuff area.(right by leading edge abrasion strip plastic)          
5579,hung droop stops. re-engaged 4x times before re-positioning and shutting down anyway per the ep.
3741,lh nlg tire worn beyond limits.          
20017,mrh low.          
11796,perform full bleed and service of mrh accumulator.          
10753,blue mrh droop stop worn.          
19493,blue and red outboard and inboard damper bearings rubbing against metal.
2581,evidence of leak coming from black mrh blade damper          
3759,lh ib mlg tire worn beyond limits          
4017,remove red main rotor blade for level ii preservation.
25430,mrh low.          
2779,lh outboard main landing gear tire found worn beyond limits.          
24466,small holes in blue tail rotor boot          
14534,yellow tail abraison strip torn          
12656,scir change:  2ln3n0w.  low main rotor head accumulator. 1600psi red.          
17796,tail rotor indexer inop.          
2842,perform post phase a ground vibration analysis iaw a1-h60rs-vib-200.          
7644,blue tip cap corroded ool.
19283,mrh nitrogen pressure low          
4853,no.4 blade pitch lock pin attaching to hardness jamnut not s/w.
22764,main rotor ool in all regimes          
10805,"tfom beanie, reinstall when notified by maintenance control.          "
3638,stripped red lockpin dust cover anchor nut.
2839,remove and reinstall blue blade to facilitate hinge insert run on torque checks.          
70,rh nlg tire worn          
672,rh out board main landing gear tire blown          
9076,remove and reinstall red main rotor blade to facilitate removal and replacement of red blade fold motor          
15444,hole on the yellow tail rotor boot.          
14943,main rotor head accumulator servicing low.          
18597,mrh accum hyd is in red.          
16786,tail rotor 3 degree bias ool          
17781,bleed and service main rotor head accumulator due to phase maintenance.          
3316,lh mlg door maintainer strut safety wire broken at lower rod end.          
8605,small tear found in yellow tail rotor boot
20496,admin install black blade tip cap due to removal and replacement of main rotor blade.
26878,main rotor head low          
19622,tail rotor vib out of limits          
26238,main rotor head servicing low.          
2153,rh nlg tire worn
5995,yellow fold hinge detent torque stripe broken.          
7916,yellow lower centering socket loose
24352,no flight light indicated          
22219,scir change:  2ln4fy2.  auto blade fold and spread inop
19656,"perform phase d inspection 200 hr inspection. when due: a0800.0, when issued: a0782.6, next due: a1000.0.          "
2339,rh nlg tire to be replaced as match set due to lh nlg cut.
18649,yellow spindle worn hardware          
11862,mrh inflight vibes ool fcf: 05-18-003          
3780,red dampner worn out of limits iaw mrc-350 30 hour inspection.          
8257,black tail paddle boot torn
18048,fwd scissor bearing ool  mrc-400 card abcd-23.4          
11887,main rotor head accumulator is in the red.          
4648,rh nlg tire worn          
16863,dirty uniball          
11517,# 6 tip cap screws worn          
27115,card b-101.2 mrh accumulator plug worn.
6057,remove tb-10 to facilitate replacement of mrh accumlator. reinstall when notified by maint control          
21276,swashplate lower scissor bearings worn          
6555,mrh low.          
20157,black blade pitch lock safety wire needs to be replaced. not removed.  fod free.          
8383,worn droop stop on blue main rotor blade. mrc-400 card d-121.2
21367,remove yellow blade. install when notified by maintenance control          
262,d card 112.2 black damper for suspicion of imetal to metal contact found on bearing.
23081,main rotor head in flight vibrations out of limits          
22977,tail rotor balance out of limits.          
15948,tail rotor balance is out of limits          
23982,"black blade spar pressure is low, pressure is at 6 psi.          "
26419,main rotor head servicing low          
4680,rh nlg worn through both thread indications.          
