,CORRECTIVE ACTION
2744,"serviced mrh to 1500 psi, high green using n-2 wab s/n: 127, hsu s/n: 204 (navy class: 1) oat: 22 degrees c, iaw gai-000. a/c time now: 3403.8 time last serviced: 3389.6. area fod free and secure.  "
21183,repaired blue trb boot iaw srm-000. area fod free and secure at time of maint. pema:3  
3468,removed and replaced left nlg tire iaw sss 3240. ataf. apaf. aff. pema 2506.  
21514,installed mrh indexer iaw 150-300. op check checks good iaw 150-200. area fod free and secure at time of inspection.  
2295,adjusted main rotor head iaw vib-200. up 15 clicks on red pcr and down 4 clicks on black pcr. area is secure and fod inspection is complete.
25592,inspected black damper iaw 150-300 and gai-000. no leak detected. area fod free and secure and time of inspection.  
1225,verified rigging on rh mlg bay maintainer door struts performed jack and cycle emergency extend. aircraft performed task appropriately  
4159,rh mlg jack point hardware corrosion has been treated and prevented iaw 01-1a-509-2. pema 76591. aff ataf apaf  
20441,inspected and repaired black blade tail rotor boot iaw srm-000. area fod free and secure.
3815,cannibalized (buno: 168293 mcn: 146hhi9) installed landing gear isolation valve iaw sss 3230. pema 9964. ataf. apaf. aff. (ran hyd analysis using pods method ran navy class 0)  
21309,"installed mrh accum iaw 150-300, bled and serviced mrh accum. iaw gai-000. area secure, clean, and fod free. pema 6fksa75963.  "
21598,followed the trobleshooting  iaw 140-200 wp 0003  refer to w/c 120  mcn 0rew705  and w/c 220 mcn 0rew70c. area is clean and fod free. fcf# 03-18-002.  
915,serviced mrh accum to 1400 high green at oat 28 degree celcius iaw gai-000. area secure and fod check complete. pema 76730.  
19439,removed and replaced red tail rotor boot ziptie iaw: a1-h60ra-150-300. area is secured and fod free. pema s/n 76762.  
18889,removed and replaced black tail rotor boot ziptie iaw a1-h60ra-150-300. area secured and fod free at the time of inspection.  
12436,"removed and replaced yellow inboard damper bearing iaw a1-h60ra-150-300, area clean and fod free.  "
27867,removed and reinstalled seat bar iaw 110-300. area secure and fod free
18159,removed and replace yellow damper outboard bearing iaw 150-300. area secure and fod free.  
14680,shimmed yellow centering socket iaw 150-300. area is secure and fod inspection is complete. ***correction*** transaction code is 12.  
8927,mrh serviving is within limits iaw gai-000. hyds low green n2 1500 oats 22. iaw gai-000. area secure and fod free.  
21556,performed tail rotor balance adjustments iaw vib-200. added 50 grams to quadrant 2 and added 54 grams to quadrant 3. all checks good. area secure and fod free.
7650,removed and replaced black elastomeric bearing iaw a1-h60ra-150-300. area clean and fod free. used pema s/n 6007.
3578,"replaced landing gear utility valve module packings iaw sss 3230. ataf apaf aff. pema 2506. hydraulic system checks good, system 3 ran navy class 1 utilizing pods method.  "
23600,adjusted red mrh pcr negative(-)3 clicks and black mrh pcr positive(+)3 clicks and added 69 oz of weight to black mrh blade and 50 oz of weight to yellow mrh blade iaw a1-h60rs-vib-200. area fod free and secure.  
20204,shimmed fwd scissor iaw 150-300. pema: 6fksa76279. area secure and fod free.
1127,serviced blow down bottle iaw sss3231 utilizing pema 99989. ataf apaf aff.  
15188,serviced main rotor head damper accumulator iaw gai-000. hyd is at middle of 2nd green. nitrogen 1600 psi. 26 degree celcius. flt hours 3332.5 conditional not required. area is corrosion and fod free. ietm 6fksa75955.  
5144,
8363,applied sealant to blue tail paddle boot iaw: srm-000. area secured and fod free at time of inspection.
19453,cannibalized (buno: 168083 mcn: 26xi88v) and installed red tail rotor paddle iaw: a1-h60ra-150-300. area secured and fod free.  
5,shimmed red lower centering socket iaw 150-300. area secure and fod free at time of inspection.
26520,reseated wooden guide on tail rotor disconnect shaft iaw 260-300. area secure and fod free.  
10883,removed and replaced fwd expandable 150-300. area secure and fod free at time of inspection.  
1427,adjusted lh interface assy iaw sss 053e. utilized pema 99989. ataf apaf aff.  
25758,"recommend re-attempting vh as per fcf. refer to mcn: 25b7yi8 and 25b7yia for reomval of rhep and lhep. refer to mcn: 25b7yii for serving of mrh accumulator, and refer to mcn: 25b7yil for completion of mrh damper conditional. area secure and fod free at ti"
1731,removed and replaced pitch lock housing gaskets iaw 150-300. area secure and fod free.  
7091,removed and replaced the blue spindle iaw 150.300.  refer to jcn: q60259a00  for installation of the blue spindle. new s/n:  b262-00343.   area secure and fod free.   card d-121.
13989,removed corrosion treated and preserved light corrosion located on the blue blade lower centering socket iaw 01-1a-509. area secure and fod free.  
21709,serviced mrh accumulator iaw: a1-h60ra-gai-000. hydraulics gauge yellow and nitrogen gauge 1450 psi using hsu 254 and n2 bottle 116 oat 32 degrees cel. aircraft flight hours 1271.5. all checks good area fod free and secure.  
6824,"removed and reinstalled blue mrh spindle liner for admin purposes, wrong wuc selected. refer to mcn: 1ncuz6a for removal and replacement of blue mrh spindle."
1046,removed and reinstall both mlg static ground wires iaw sss 3210 pema 7333. ataf. apaf. aff. for the replacement of the nlg grounding strap refer to mcn: 1oo13r7 jcn: ghd057400
15214,parts recieved. refer to mcn: 0rewf9y jcn: km0351a00 for installation. area secure and fod free.  
4004,performed tail rotor adjustment iaw vib-200. added 98 grams on q1 and 25 grams on q4. area secured and fod free.
12480,removed and replaced all four main rotor head lockpin covers iaw a1-h60ra-150-300. pema 6647. area secure and fod free.  
10435,"adjusted red pcr -6 clicks and black pcr +5 clicks, also adjusted the yellow trim tab +18.0 (mils) and black trim tab +3 (mils) iaw vib-200. area clean and fod free."
18105,removed and replaced red blade tip cap low #6 screw (s/n 12535-low) iaw a1-h60ra-150-300. pema 7iksa26000. area clean secure and fod free.
25865,removed and replaced yellow main rotor spindle journal bearing assembly iaw 150-300. area fod free and secure.  
25393,re-applied safety wire on lower red centering socket iaw a1-h60ra-150-300. area secured and fod free at time of inspection.  
16033,"serviced mrh accumulator to full yellow and 1550 psi iaw gai-000, utilizing hfsu s/n: 244 and 3000 psi bottle 000006. aircraft time now 2,237.6, temp 16c. area clean, secure and fod free.  "
19070,removed and reapplied safety wire on black centering socket iaw ref: a1-h60ra-150-300. area fod free and secure at time of inspection. checks good.  
16714,adjusted ylw pcr down 13 clicks and blk down 1 click iaw vib-200. area clean and fod free. pema sn 6fksa76279 refer to jcn by0113573 for 9-13 on pcr.  
24519,cannibalized (buno: 166556 mcn: 1wdawmo) removed and replaced main rotor head accumulator iaw 150-300.  accumulator reads nit: 1500 and acc: yell.  nit bott: 334.  area fod free and secure.  
7666,main rotor deice checks performed during functional check flight check good iaw lt leona and fcf packet 701-19-008. area fod free and secure at time of inspection.
1555,black blade lower centering socket play is within limits iaw 150-300. pema: 6cksa67512. area secure and fod free.  
18948,adjusted blue pitch control rod +3 notches and yellow pitch control rod +11 notches per imds ground station recommendations iaw a1-h60rs-vib-200 and a1-h60ra-150-300. please refer to mcn: 1w3s0nl for 9-13 hr tq checks of jamnuts.  
6578,"properly serviced mrh accumulator in accordance with a1-h60ra-gai-000. pressures are as follows;  hydraulic side: yellow (full), nitrogen side: 1650 psi. oat is 26 degrees celsius. current flight hours: 1961.6."
20495,"witnessed the removal and replacement of blue blade iaw: 150-300, adjusted pcr -9 clicks for pre track adjustment. all checks good, area fod free and secured. used pema s/n: 6cksa67524."
3795,repaired tail rotor boot iaw srm-000. awaited cure time. all checks good. area secure and fod free at time of inspection. used pema 3  
20197,"serviced mrh using hsu 309 navy class 0 iaw a1-h60ra-gai-000. all checks good. hyd middle high green, nitro 1650 psi,  oat 30c, a/c hours 2408.0. area clean and fod free at time of completion.  "
16775,removed and replaced blue spindle iaw:150-300. area secure and fod free. ***pema sn: 5lksa-54820
24414,removed and replaced lateral expandable pin iaw 150-300.  area secure and fod free.  
23584,serviced mrh accumulator iaw gai-000. fluid level: upper green. nitrogen: 1450. oat: 30c. a/c time: 2433.2 area secured. fod check complete.
1121,"made the following adjustments to mrh: red pcr -12 clicks, blue pcr -12 clicks, black pcr -12 clicks, and yellow pcr -12 clicks iaw vib-200. refer to jcn: by0205471 for all 4 pcr jamnut 9-13s. area secure and fod free. pema 6fksa76012.    "
3331,performed autorotation adjustment iaw a1-h60rs-vib-200. adjusted all four pcrs +8. area secure and fod free at time of inspection.
21882,"serviced mrh iaw gai-000. hyd first green, nitr 1600, oat 19c. pema s/n used 7924. area secured and fod free at time of inspection. a/c 809.5.  "
9724,"serviced mrh accum to 1550psi/ high green iaw: a1-h60ra-gai-000. oat is: 21 celsius, a/c time is: 1,233.2 hsu s/n: 245. sample taken on pods s/n: 00667. navy class: 0. area secure and fod free at time of inspection.  "
12089,"applied battery power, tail rotor indexer retracted. op checks good iaw 150-200. area fod free and secure.  "
8467,"serviced main rotor head accumulator iaw gai-000. fluid level checks yellow. n2 at 1500 psi. aircraft hours at 2,845.5 . all tools accounted for area fod free and secure."
26962,"performed ground vibes, vibration within limits iaw a1-h60rs-vib-200. area clean, secure, and fod free. pema: 6cksa67629"
24516,"adjusted black and blue pcl's iaw a1-h60ra-140-300. adjusted black pcl from 2.3 degrees to 3.1 degrees, and blue pcl from 2.1 degrees to 3.0 degrees. tail bias is within limits after adjustments were made. area secure and no fod found.  "
13536,installed de-ice distributor iaw a1-h60ra-410-300. op checks good iaw a1-h60ra-410-200. area secured. fod check complete.  
4359,cannibalized (buno: 168325 mcn: 2mf0idd) removed and replaced parking brake transfer module iaw sss 3240. pulled hydraulic system samples iaw navair 01-1a-17 & navair 01-15bf-97 and ran utilizing the p0ds method. system 3 ran navy class 00 ataf apaf aff  
5094,
13779,removed and replaced red main rotor blade droop stop iaw a1-h60ra-150-300. all checks good. fod check complete and area secure at time of insepction.  
9937,removed and replaced blue trb errosion tape iaw a1-h60ra-srm-000 wp 016 00/ ietms 1089. area clean and fod free.  
1799,removed and replaced foward scissor iaw a1-h60ra-150-300. area clean and fod free. used pema s/n 6007.
22833,"performed tail rotor adjustment iaw vib-200. weight added, 91grams on quad. 3, 20grams on quad. 4. area fod free and secure at time of inspection. pema:3.  "
23083,"removed and replaced blue blade fold detent washers iaw 150-300, wp 009 00. area secure and fod free. pema 4  "
11639,serviced mrh accumulator iaw: gai-000. nitrogen: 1500. fluid: high green. oat: 22c. n2 bottle s/n: 331. hsu s/n: 337. navy class: 1. current a/c hours: 1031.6. a/c hours of last service: 969.7. conditional: no. checks good. area secure and fod free.  
10034,safety wired yellow blade fold limit switch iaw 01-1a-8. area secure and fod free. pema: 76623  
15999,"removed and replaced and safety wired blue upper and lower centering socket hardware iaw 150-300. checks good, area secure and fod free at time of inspection.  "
15023,inspected blue blade damper iaw 150-300. movement due to head being underserviced. refer to jcn:by0008412 for servicing of mrh accum. area secured and fod free. pema 6fksa75955.  
15103,removed and replaced tail rotor brade leading edge rivet iaw 110-300. area clean and fod free. pema s/n: 6cksa75997.  
140,utilized pema 5. removed and replaced lh nlg tire iaw sss 3240. ataf. apaf. aff.  
12890, adjusted main rotor head red pcr  +1 click and black pcr -5 clicks. iaw: vib-200. area secure and fod free at time of inspection.  
25449,serviced main rotor head accumulator to the low side of the high green iaw: a1-h60ra-gai-000 using hsu s/n: 275 pulling a navy class 1. nitrogen side is at 1650 psi. area secure and fod free at time of completion.  
21326,inspected bim indicator iaw: 150-300. bim indicator works as advertised. checks good. area fod free and secure at time of inspection.  
7108,refer to isr rcn number: n53912-19-0122 for removal of insert. area secure and fod free. pema 6cksa67509.
4001,serviced mrh accumulator to high green at 1550 psi iaw a1-h60ra-150-300. oat: 20 deg c. area secure and fod free at time of inspection. hsu sn: 273
8046,removed and replaced red bim indicator iaw a1-h60ra-150-300. area fod free and secure at time of inspection.
14818,repaired hole in red tail rotor boot iaw a1-h60ra-srm-000. pema 8100. area secure and fod free.  
18556,added 28 grams of weight to blue spindle hub arm iaw a1-h60rs-vib-200.  all vibes check good within limits.  area worked fod free and secure.
7971,removed and replaced yellow paddle tail rotor boot iaw: a1-h60ra-150-300. area fod free and secure at time of inspection. refer to jcn: q20292383 for 9-13 yellow pcl. checks good.  
22140,"added weight to tail rotor due to ool iaw a1-h60rs-vib-200. #2 quadrant added 216 grams, #3 quadrant added 54 grams. area is secure and fod free. pema 6734  "
25423,removed and replace blue blade iaw a1-h60ra-150-300. area fod free and secure at time of inspection.
2900,serviced low mrh accumulator to high green/1600 psi iaw a1-h60ra-gai-000. oat: 20 degrees celcius. area fod free and secure.  
9949,"inspected aft scissor play iaw 150-300. play is within limits at 0.017"". limit is 0.033"". area fod free and secure.  "
94,replaced red t/r blade bonding jumper iaw a1-h60ra-150-300 tqd nuts to 19o in-lbs and 100 in-lbs breakaway tq on bolt head with tq wrench sn: 0333 tq stripe
16650,"removed and replaced worn screws in accordance with the a1-h60ra-150-300. area is clean, secure, and fod free. pema s/n: 8556."
24012,"inspected main rotor head iaw gai-000. mrh is within limits no further action required. area secure, clean, and fod free. pema 6fksa75963.  "
4632,tqed power steering unit return line iaw sss 3250.  
15864,bled and serviced mrh accum to yellow 1450 psi @66 degrees iaw gai-000. area secure and fod free. a/c time now 3342.0  refer to mcn: 00jdo8e jcn: qg0123550 for excessive leakage maf    
8300,torqued blue damper elbow jamnut iaw a1-h60ra-140-300. all checks good.  area secured fod free.
6317,removed and replaced the tail index actuator iaw 150-300. opcheck checks good iaw 150-200. area secure and fod free.  
23026,"removed and replaced rivet on blue tail paddle iaw a1-h60ra-150-300. area clean, secure and fod free. pema 6fksa76013.  "
22067,removed and replaced red main rotor damper bolts iaw 110-300. checks good area fod free and secure. refer to mcn 1wda9c2 for 9-13hr tq checks.  
1629,cleaned brake pistons iaw sss 3240 and sss 053e
25140,replaced tail rotor boot iaw: a1-h60ra-150-300. refer to jcn: bl3093061 for pcl retorque. area secure and fod free. pema s/n: 6642.  
4548,safety wired main rotor head pitch lock housing bolts iaw 150-300. area secure and fod free. pema 21-6cksa67642.  
3210,"replaced left inb mlg tire iaw sss:3240, utilized pema-01. ataf,apaf,aff.  "
10388,removed and reinstalled mrh bladefold distrubuter iaw a1-h60ra-410-300. area is secure and fod free at the time of inspection. pema s/n 48453.
11319,installed blue and red pcl cotter pins iaw 150-300. area secure and fod check complete.  
21381,performed post phase ground vibration analysis iaw a1-h60ca-mrc-400. area is secure and fod free. all ground vibes within limits iaw a1-h60rs-vib-200.
15062,inspected yellow tail rotor boot zip tie iaw 150-300. adjusted zip tie to proper location and secured properly. area fod free. all secure. pema s/n: 6cksa67524.  
3881,"adjusted mrh blue pcr down 23 clicks and yellow pcr up 3 clicks iaw vib-200. refer to mcn: 00jg573, jcn: qg0305354 for blue pcr 9-13 tq check, and mcn: 00jg58q, jcn: qg0305384 for yellow pcr tq check. area secure and fod free at the time of inspection."
23254,removed and replaced yellow spindle upper weight bracket bolt with correct bolt iaw vib-200. area secure and fod free. pema: 6cksa67609
2691,removed and replaced blue tr boot iaw 150-300. area fod free and secure.  
2672,serviced mrh to second green iaw gai-000. nitrogen at 1500 psi. oat at 8 degrees celcius. no conditional needed. area clean and free of fod and corrosion. pema used 6fksa75963.
19983,removed and reinstalled black black fold harness iaw a1-h60ra-150-300. refer to jcn: qv0127a49 for adjustment of switches. area secure and fod free and time of inpsection.  
4895,"serviced main rotor head accu iaw gai-000. hyds: second green, nitro: 1650 psi, oat: 32c, a/c hours: 951.900. area fod free and secure. pema 7925."
24124,removed and replaced tail rotor paddle iaw 150-300. area secure and fod free. pema s/n: 6cksa67610.  
12586,removed and reinstalled tail rotor pitch beam retention nut iaw 150-300. all checks good. area fod free and secure.  
10039,removed and replaced aft expandable pin iaw 150-300. checks good. area secure and fod free at time of inspection. pema s/n 76322. ****am2 barker should have signed the install and remove block
13813,"removed and replaced damper bearing iaw 150-300. area is sedcured, corrosion and fod free. 6fksa75955  "
4454,removed and replaced lh ib mlg tire iaw sss 3240 apaf ataf aff  
4870,performed ground vibes iaw the vib-200. all regiems are with in limits area secured and fod check complete.
7148,"main rotor magnetic pickup adjusted iaw a1-h60ra-150-300. clearance is 0.016, limitation is 0.015-0.025. area secured and fod free at time of inspection.  "
7476,removed and reinstalled blue main rotor blade s/n: a237-03903 iaw a1-h60ra-150-300. all checks good. area secure and fod free. pema s/n: 76532
4823,replaced landing gear down and lockindicator light iaw ietms sss:3260. used pema 5322. ataf apaf aff.
27294,removed and reinstalled tb-10 iaw a1-h60ra-410-300. refer to mcn:40b9d8r jcn:q50226539 for op-check. area secure and fod free at time of inspection.  
2831,"performed troubleshooting on landing gear control unit. could not duplicate discrepancy iaw ietms sss: 3260, cameo version: 1.3.7, ietm date: 9 feb 2018, erac: 1503, pema: 4423. area fod free.  "
4156,adjusted main rotor head magnetic pickup iaw 150-300. system checks good for security iaw 150-300. pema s/n: 7jksa28031. area fod free and secure at time of inspection.
7851,removed and replaced blue damper iaw a1-h60ra-150-300. damper bench bleed completed before installation. verified mrh servicing within limits at yellow / 1530 psi. oat 30 degress celcius. a/c time now 1166.9. area fod free and secure. refer to mcn: 47p4rp
25554,removed and replaced anchor nuts for black blade bottom #11 and #12 screws iaw: 01-1a-8. refer to jcn: q20265a00 for black tip cap installation. area fod free and secure at time of inspection.  
12021,cleaned red mrh damper iaw 01-1a-509 performed lead and log check iaw gai-000. lead and log godd no leak detected. area free and fod free. pema 6fksa75963  
13912,removed and reinstalled main rotor head deice distributor (beanie) iaw a1-h60ra-410-300. area secure and fod free at time of inspection.  
15908,added 35 grams to quad 1 and 160 grams to quad 4 iaw: vib-200.  area clean and fod free.  
20731,"made the following adjustments to mrh: blue tab -4 mils, yellow tab -5 mils iaw vib-200. area secure and fod free. pema 6fksa76012.  "
23198,removed and reinstalled obrp iaw 150-300. area secure and free of fod. refer to jcn: q70334560 for 9-13 torque checks  
10288,removed and replaced red spindle iaw reference: 150-300. area secure and fod free at time of inspection.
10342,"removed and reinstalled mrh slipring harness iaw 410-300.  refer to mcn: 46simf3, jcn: qv0220335 for op check of system.  area fod free and secure at time of inspection.  "
11053,adjusted tail rotor blue paddle boot zip tie iaw 150-300. area is fod free and secured. pema s/n: 6cksa67629  
19600,removed and replaced outboard retention plate hw 150-300. refer to mcn: 1gthz6p for 9-13 flight hour torque check. area secure and fod free.  
3902,"removed and replaced black mrb tip cap iaw: 150-300. torqued all screws to 30in lbs using torque driver s/n: 108. torque check jcn: q20183965. current a/c time 3338.4 hours. checks good, area fod free and secure at time of inspection.  "
9360,sealant applied over hole on the red tail rotor boot iaw 150-300. all checks good. area secure and fod check complete at time of inspection.
13104,installed blue pitch lock housing iaw 150-300. refer to mcn 16pl1e0 for blade fold operational check out. area fod free and secure at time of inspection. pema8922.  
23362,safety wired hydraulic fluid gage iaw ref: 150-300. checks good. area secure and fod free at time of completion.  
334,removed and replaced worn tire iaw sss 3240 pema 1031 ataf apaf aff
26356,hole on black tail rotor boot within limits. repaired hole iaw a1-h60ra-srm-000. sealant cured. area secured and fod free.  
18568,"serviced mrh accumulaor iaw a1-h60ra-gai-000. utilized hsu s/n: 309 sampled at navy class: 3. checks good with hyd @ high green, nit @ 1650, with oat @ 27 degrees celsius. area secure and fod free at time of completion.  "
561,serviced mrh accumulator to the low side of the high green using hsu s/n: 275 pulling a navy class 1 iaw: a1-h60ra-gai-000. nitrogen pressure remains at 1650 psi. all checks good. area fod free and secure at time of completion.  
4152,shimmed aft scissor to mitigate axial play iaw a1-h60ra-260-300. pema sn: 30776. tq wrench sn: 1416029694. area secured and fod free.  ***update*** scissor within limits  
1273,removed and replaced mrh black damper qd iaw the 150-300. refer to jcn:byoo67295 for bleed and service. area secure and fod free. pema:6fska76269  
3992,performed tail rotor health and balance check iaw a1-h60rs-vib-200. all regimes within limits. area secure and fod free at the time of inspection. pema 76304
8819,"serviced mrh with hsu s/n 216 iaw gai-000. navy class 0. mrh serviced to second green, pressure is 1550 psi, 24 degrees celsius. 3,191.9 flight hours. refer to mcn: 26xj3a5 for excessive leakage of damper condtional. area secure and fod free at time of c "
732,removed and replaced inboard damper bearing iaw 150-300. area secure and fod free. pema s/n: 26120 refer to mcn: 25b7m53 for installation.  
4404,performed full bleed and service on mrh accumulator iaw gai-000. all checks good. oat: 26¿f. hyd fluid: yellow. nitrogen: 1550 psi . a/c time: 2822.4. area secured. fod check complete. **correction 26 degrees celcius**
13094,serviced main rotor head accum. to 1500 psi / high green iaw gai-000. ambient temp is 32 deg cel. flight hours are 1779.9. area fod free and secure.  
21317,applied grease to lockpins iaw: a1-h60ra-mrc-350 card 24.1 steps 3-5. refer to mcn:1v4zf6v for 14 day. area secured and fod free.  
945,made adjustments to quad 1 71+ and quad 4 58+ iaw vib-200. area secure and fod free. pema 6007.  
340,removed and replaced rh ib mlg tire iaw sss 3240 pema used 01913 ataf apaf aff.
5600,torqued and cotter key'd blue damper bolt to 146 ft lbs  iaw 150-300. refer to mcn: 26xjhbg for 9-13 tq check on blue damper. area fod free at time of completion.
7987,reinstalled distributor iaw: a1-h60ra-410-300. torqued bolts to 110 inch pounds. area fod free and secure during time of completion. pema:76851.
20788,removed and replaced #3 transducer iaw 150-300. auto blade fold operates 4.0. area secure and fod free. pema sn: 67509
18566,"removed all pcr mount bolt cotter pins iaw 150-300. torque checked all pcr mount bolts iaw 150-300. torque checks good, no discrepancies noted. installed cotter pins and applied torque stripe on all pcr mount bolts iaw 150-300. area is fod free and secure"
5082,"treated surface corrosion on rh mlg drag strut hardware iaw navair 01-1a-509. apaf,ataf,aff used pema 13784."
25566,saftey wired blue blade lock pin puller dog bone iaw 150-300. area fod free and secure.  
26329,repaired damage on red trb pitch horn fairing iaw srm-000. area secure and fod free at time of inspection. pema #7iksa26127  
18647,verified serial numbers for remove block. represeved tip cap. iaw: na-15-01-500 area clean and fod free pema 5fkya30791  
23666,"serviced main rotor head accumulator hydraulic side to bottom of 2nd green at 1500psi iaw a1-h60ra-gai-000. area secure, clean, and fod free. outside air temperature is 80'f.  pema 7iksa25995.  "
22310,received parts from supply. refer to mcn:47p4o5y jcn:q80242a00 for installation of pitch lock actuator and gasket.
955,replaced lh nlg tire iaw sss 3240. used pema 67332. ataf apaf aff.
581,shimmed the fwd scissor upper bolt iaw 150-300.  all checks good.  area secure and fod check complete.  
10059,removed and replaced yellow inboard damper bearing iaw 150-300. checks good. area secure and fod free at the time of completion. used torque wrench s/n: 0704500893
21704,removed and reinstalled blade deice distributor iaw 410-300.  area secure and fod free.  correction: verified correct logic modules are reinstalled on original equipment.  area secure and fod free.  
25118," removed the foward scissor link iaw 150-300, pema 6670. area secure and fod free.  "
9168,removed and re-installed yellow mrh spindle assy iawc150-300. area fod free and secured at time of inspection.  
16308,torqued yellow lower centering socket to 15 inch pounds iaw 150-300. no movement observed during torque. no metal particles present. all checks good. area secure and fod free. used pema 1  
27648,
13127,removed and reinstalled aft scissors iaw 150-300. refer to mcn 1wd3ild for dicrepancy correction.
10344,removed and replaced yellow upper and lower centering sockets iaw 150-300.  area secure and fod free.  
9317,"serviced mrh accumulator iaw gai-000. hyd level: yellow, n2 pressure: 1550 psi, and oat 14 degrees cel. a/c hours of 3,215.5. all servicing checks good at current temperature. area secure and fod free at the time of completion.  "
11417,performed tail rotor rig check iaw a1-h60ra-140-300. area secure and fod free.  
1408,removed blue spindle nut as matched set iaw a1-h60ra-150-300. area secure and fod free. pema s/n: 48100  
6848,serviced apu accum to 2800 psi iaw gai-000. area secure and fod free. ietm sn 6fksa75963.  
321,re-rigged nlg door links iaw sss 32. performed wipe down of landing gear and greasing of nlg fittings.  apaf ataf aff.  
19327,repaired red tail rotor boot hole iaw a1-h60ra-150-300. area is clean and fod free.  
1562,serviced lh ib mlg tire iaw sss1210.  ataf apaf aff tfoa insp complied with.  used pema 67330.  
3371,reset tail rotor indexer iaw a1-h60ra-150-300. operation checks good a1-h60ra-150-200. area is secure and fod free at time of inspection.  
6499,removed and replaced worn h/w on yellow blade fold harness iaw 150-300. area secure and fod free.
18792,removed and reinstalled pitchlock motors iaw 150-300.  area secur fod check complete.  
8836,performed 3 degree bias iaw 150-300. adjustments made to all four tr pcl's. area secure and fod free.  
622,removed and replaced bad hinge inserts iaw 150-300. area secure and fod free.  
2840,removed and replaced component nomenclature main rotor head damper assy;  part no: 70106-28000-049;  serno: a221-04474;  pos cd: blue. area clean and fod free. pema s/n: 6cksa75997.  
23396,"serviced main rotor head accumulator hydraulic side to yellow / 1450psi in accordance with a1-mh60ra-gai-000. area is clean, secure and fod free. pema s/n: 6fksa76013. oat: 50 degrees f. acfh: 1076.5.  "
4733,"removed and replace rh ob mlg brake line iaw sss3240. used pema 76262. ataf, apaf, aff.  performed hydrualic sampling on sys 3 iaw 01-1a-17. utilized pods machine. sys 3 ran a navy class 2."
8315,removed and replaced aft scissor iaw a1-h60ra-150-300. all checks good. area secure and fod free.
1299,serviced all six tires iaw sss 1210. used pema 67326. ataf apaf aff.
27522,
6642,removed and replaced blue blade fold harness iaw 150-300. op check refer to mcn: 1gtilri. area secure and fod free.
9086,removed and replaced the forward scissor iaw 150-300. area clean and fod free.  
906,replaced rh ob main landing gear tire iaw sss 3240. ataf apaf aff.
22924,removed and replaced worn damper bearings iaw a1-h60ra-150-300. area secure and fod free.
21388,"removed and replaced forward, aft, and lateral bladefold transducers iaw a1-h60ra-150-300. afcs checks good iaw a1-h60ra-560-200. refer to jcn:q20239046 for bladefold discrepancy. area secure and fod free.  "
14708,serviced main rotor accumulator to second green with 1600 psi and an oat of 27 degrees celsius iaw a1-h60ra-gai-000. current a/c hours: 1172.4. area secure and fod free.  
3673,torqued and safety wired down and lock switch 1 iaw ietms sss 3230. pema 67505 was used ataf apaf aff correction to ip: for installation of lgcu and lgcu access panel refer to mcn:2366kz4 jcn:gj6292093  
3760,removed and replaced landing gear control unit iaw ietms sss 3230. pema 05214 was used. operational check is good on apu power. ataf. apaf. aff.  
10541,"serviced mrh to low green with hsu: 251 (navy class: 2), 1500 psi with nan jr: pzn136 iaw gai-000, oat: 29. area fod free and secure. time last serviced: 3458.8; a/c time now: 3480.8.  "
16043,"removed and replaced blue main rotor blade iaw 150-300. old blade pre-track: +2 minutes, new blade pre-track is at +3 minutes. no adjustments needed. area is fod free and secured. pema s/n: 6cksa67629. refer to mcn: 00ce9qlfor vibes maf.  "
3124,removed and replaced pneumatic reservoir iaw sss 3231 ataf apaf aff used pema 76488  
6097,removed and re-installed spindle and hinge assy iaw a1-h60ra-150-300 wp 007 00.  blue thrust bearing s/n c325-06065.  area worked fod free.
9665,adjusted all pcrs +16 clicks iaw a1-h60ra-vib-200.  area fod free and secure at time of inspection.  
628,replaced rh mlg down and lock switch #2 iaw ietm sss: 3260. pema s/n: 99168. system op-checks good. ataf. apaf. aff.  
25817,"removed and reinstalled tail rotor paddles iaw 150-300. refer to mcn: 1gti6qh, 1gti6qi ,1gti6qj ,1gti6ql for 9-13 flight hour tq check. area secure and fod free.  "
17336,"adjusted tail rotor as follows: added 30 grams to quadrant 1 and 105 grams to quadrant 2 iaw vib-200. area clean, secure, and fod free.  "
24929,removed and re-installed all lower pcr bolt iaw 150-300. nut torqued to 48 ft pounds and cotter key. area secured and fod free.  ***correct wuc is 15510***  
3885,de-serviced rh main landing gear shock strut iaw sss 1210. ataf apaf aff. used pema 42595.  
5060,inspected tail rotor boot. boot is repaird within limits.  iaw a1-h60ra-150-300 wp 030 00. area secure at time of inspection.
9398,retracted red and black blade lock pins iaw 150-300. area secure and fod free. pema 20-6fksa76278.  
996, for removal and replacement of hi-time pneumatic reservior module refer to mcn 198 198ek9v jcn gc4361238 ataf apaf aff.  
18233,adjusted blue pcl down 7 clicks and yellow down 2 clicks iaw vib-200 and imds ground station. area secure and fod free.  
15961,"maf signed off in error refer to new jcn: b20211098. area secure, fod free. pema used: 6fksa76352."
3421,"bled and serviced mrh accum. iaw h60ra-gai-000 to hi green, 1400 psi. area secured and fod free. ataf. pema 30703.  "
18721,removed and replaced lower red pcr bearing iaw 150-300. area clean and fod free.  
15903,serviced mrh accumulator iaw: a1-h60ra-gai-000. nitrogen pressure is 1500 psi. hydraulic pressure needle is in the second green. ambient temperature is 15 degrees celcius. current flight hours are 2566.4. area is secure and fod free. utilized pema 2704.  
