,CORRECTIVE ACTION
23374,removed and replaced worn scissor bearings iaw reference: a1-h60ra-150-300. area secure and fod free. ataf  
16589,removed and replaced worn tip cap rivets on red and yellow tail rotor blades iaw 150-300. area secure and fod free at time of inspection. pema s/n 76322.
4496,added 112 grams to quadrant 2 iaw vib-200. all vibes within limits. area secure and fod free. ataf.
27065,serviced mrh accumulator with hyd fluid to high green / 1400 psi nitrogen iaw a1-h60ra-gai-000. oat 22 degrees celcius. a/c time now 3746. area fod free and secure.
8227,"refer to mcn: 00jforz, jcn: qg0227538 for correct abrasion strip maf. no maintenance performed."
2219,removed and replaced mrh accumulator fluid  gage and schrader valve iaw 150-300. serviced mrh accumulator to yellow 1500 at 16 celcius iaw gai-000. no servicing required due to removal and replacement of 108 bolt .refer to jcn: q60023277.  
4406,replaced lateral swashplate expandable pin and self-retaining nut iaw: 140-300. area secure and fod free.
15813,performed main rotor head adjust on black pcr +1 click iaw vib-200. area secure and fod free at time of inspection.  
4944,removed and replaced red lower pcr rod end iaw 150-300.  area fod free and secured at the time of inspection.
25405,measured side to side play on forward and aft scissors. gap within limits iaw a1-h60ra-150-300. pema 6fksa76335. area clean secure and fod free  
25222,removed and replaced worn pitchlock gasket on blue blade iaw 150-300. area secure and fod free at time of inspection.  
13137,serviced mrh accumulator hyd: high green nit: 1600 psi oat: 22 degrees celcius iaw gai-000. checks good. area secure and fod free at time of completion.  
24817,"removed and replaced yellow mrh damper iaw 150-300. tq bolts to 125-146 ft/lbs (tq wrench s/n: 1117701443), and cotter keyed bolts. refer to jcn qg0151321 for 9--13 flight hour torque check. area fod free and secure at time of inspection.  "
216,removed and replaced lh ib tire iaw sss: 3240. ataf apaf aff.  
11143,installed screw on main rotor head slipring inspection plate iaw a1-h60ra-410-300. area secure and fod check complete. ***correction: trans code should be 12 to index part (screw).***  
2689,scir change close-out.  refer to mcn: 13q5fb1
1652,removed and replaced worn heat shirnk tube iaw 150-300. area secure and fod free.  
22509,"removed and replaced blue and black tail rotor tip cap leading edge rivets iaw a1-h60ra-150-300. pema 6fksa76013. area is clean, secure and free of fod."
20650,replaced fwd mrh scissor bearing iaw a1-h60ra-150-300. area fod free and secure.
4030,"removed and replaced black tail rotor boot iaw a1-h60ra-150-300. time now: 2,390.3. area secure and fod free at the time of the inspection.  "
3681,"removed and replaced right hand outboard brake assembly iaw sss 3240 ataf apaf aff.  performed hydraulic sampling via pods iaw navair 01-1a-17 system 3, navy class: 3  "
3129,"removed and replaced rh ob brake assembly in accordance with sss:3240. hydraulic sample ran via pods, sys:3 nc:0 ataf apaf aff.  "
14484,removed and replaced red droop stop springs iaw a1-h60ra-150-300. area secured and fod checks complete.
18903,repaired blue trb iaw srm-000. area secure and fod free. pema 6fksa76279.  
20830,serviced mrh accumulator iaw gai-000. hyd:yellow. nitrogen:1500psi. oat:25 degrees celcius. a/c hours: 750.300. area secure and fod free. pema 7879.
7269,"adjusted red pcr -2 and adjusted blue pcr +3 in accordance with a1-h60rs-vib-200 and a1-h60ra-150-300. area secure, clean, and fod free. pema 6fksa76362.  "
8503,removed and replaced yellow elasromeric bearing iaw a1-h60ra-150-300. refer to jcn: q60259a00 for installation of the spindle. area fod free and secure.
535, removed and replaced right nose wheel/tire assy iaw sss 3240 pema 80 ataf apaf aff.  
16412,adjusted red pcr -2 clicks and blue -2 clicks iaw vib-200. area fod free and secure at time of inspection. refer to mcn 46sjcsv for 9-13 torque checks
6033,removed corrosion cleaned treated and preserved on blue main rotor blade cuff bolts iaw na01-1a-509. area fod free and secure  
727,"removed and reinstalled main rotor head distributor iaw 150-300. refer to mcn: 00cd6om jcn by0080519 for seal of beanie bolts. pema 21-6cksa67642. area secure, fod check complete.  "
22786,hole within repairable limits. repaired hole in red tail rotor boot iaw a1-h60ra-srm-000. area secure and fod free.  
4230,serviced tire iaw sss 1210 ataf apaf aff used pema 67326  
7786,repaired small tear in blue blade tip cap end point near drain hole iaw a1-h60ra-srm-000. ietm3119. area clean and fod free.
9455,removed and replaced red elastomeric bearing iaw a1-h60ra-150-300. area secure and fod free.  
4843,
5779,removed and replaced yellow blade fold motor iaw a1-h60ra-150-300. torqued hinge pin and cotter keyed. torqued blade fold actuator bolts and applied sealant. area secured and fod free at the time of inspection. refer to jcn: q20138099 fod fcf ground turn.
4027,"serviced mrh accumulator iaw gai-000. hyd level on yellow, nitrogen pressure 1650 psi, and oat 18 degrees celcius. a/c hours of 1,560.70. area secure and fod free at the time of completion."
6380,installed saftey wire on the yellow pcl jamnut iaw a1-h60ra-150-300. area secure and fod free.  
11453,"removed and reinstalled mrh accumulator and performed full bleed and service iaw a1-h60ra-150-300 and a1-h60ra-gai-000. serviced accumulator to 1600psi, high green at 20  celsius. flight hours at time of servicing: 2212.7. all checks good. area secure and"
3379,removed and replaced rh nlg tire iaw sss 3240 ataf apaf aff.  
9508,removed and replaced damper assy iaw a1-h60ra-150-300. area secure and fod free at time of inspection.  
10251,performed tail health vibration analysis due to the replacement of pcl rod reds. all vibrations within limits iaw vib-200. area secure and fod free. pema 6fksa76012.  
25353,"parts received, refer to mcn: 0rewaui, jcn: km0217a00 for installation and op check.  area clean and fod free. pema s/n: 9015.  "
17097,adjusted all main rotor pitch control rods positive 12 knotches iaw a1-h60ra-vib-200. area clean secure and fod free. pema 6fksa76277.  
4836,made the following adjustments iaw vib-200: blue pcr down 3 clicks and black pcr down 2 clicks. area secure and fod free at time of inspection. pema 6cksa67512.
542,removed and reinstalled tail paddles to fom on inboard retention plate iaw a1-h60ra-150-300. all checks good area fod free and secure at time of inspection. refer to jcn q20094269 mcn: 2ln415j for 3 degree bias.
5847,repaired hole in blue tail rotor boot iaw a1-h60ra-srm-000. area secured and fod free. pema sn: 48100.  
54,removed and replaced rh nose landing gear tire iaw sss 3240 ataf apaf aff. used pema 76488
20129,serviced main rotor head accumulator to high green iaw: a1-h60ra-gai-000 using hsu s/n: 275 pulling a navy class 2. nitrogen pressure remains at 1600. oat is 32 degrees celsius. area fod free and secure at time of completion.
17324,removed and properly reinstalled blue pitch control rod iaw 150-300.  area secure and fod free.  pema 6cksa67629  
11072,serviced red main rotor blade spar to 10.50 psi at 81 degrees fahrenheit iaw a1-h60ra-150-300. area fod free and secure.
11051,refer to jcn: qv0158552 for black blade trim tab adjustment. area fod free and secure at time of inspection.  
20913,"removed and replaced red tail rotor inboard pcl rod end bearing iaw 150-300. area secure and fod free. pema 6fksa76012. trans code 12, action taken b.  "
4362,removed and replaced black outboard damper bearing iaw a1-h60ra-150-300. area secure and fod free. ietms 6667.  
13529,"adjusted mrh indexer iaw 150-300. operational checks good iaw 150-200. pema 7-6cksa67644. area secured, corrosion and fod free.  "
15542,removed and replaced all tip cap screws iaw a1-h60ra-150-300. area clean and fod free.  
587,"serviced mrh accumulator iaw gai-000. hyds: yellow, n2 pr5essure: 1550 psi and oat 12 deg cel. a/c time 2952.8. all servicing checks good at current temperature. area fod free and secure.  "
554,performed ground vibration analysis iaw a1-h60rs-vib-200. all number are within limits. area is secure and fod free. pema 8884
27602,gouged within limits. repaired yellow pith horn iaw 150-300. area fod free and secured. pema s/n: 5lksa54765.
38,"serviced all tires iaw sss 1210.  ataf, apaf, aff.  pema 67579 used.  "
15163,removed and replaced red mrh damper inboard bearing iaw a1-h60ra-150-300. area secure and no fod found. refer to mcn: 1v4yjkq for 9-13 damper tq checks.  
14187,removed and replaced component nomenclature main rotor head damper assy;  part no: 70106-28000-048;  serno: a221-02485;  pos cd: blue. iaw 150-300.  area secure and fod free.  
14167,performed post phase ground vibes iaw vib-200. all checks good and within limits. area secure and fod free.
12055,inspected mrh accumulator iaw gai-000. rotor head is within limits. no further action required. area corrosion and fod free. pema sn: 6fksa75973.  
26098,tightened loose zip tie on black blade journal bearing iaw a1-h60ra-150-300. checks good. area secure at the time of inspection.  
21351,serviced mrh accumulator to hyd: 2nd green nitrogen 1450 : iaw gai-000. area secure and fod free. current a/c hours 2513. oat: 83*f  
1685,replaced lh nlg tire iaw sss 3240 utilizing pema 02499 ataf apaf aff  
18934,"serviced mrh accumulator iaw a1-h60ra-gai-000. hydraulic fluid in high green, nitrogen pressure 1500 psi. oats 28 degrees celcius. aircraft time : 981.9. hsu s/n: 245  area secured and fod free.  "
22840,"serviced mrh accummulator to high green at 1600psi iaw a1-h60ra-gai-000. a/c time is now: 797.3 oats: 24c. checks good, area fod free and secure.  "
436,replaced parking break light bulbs.iaw sss 3240 op checks good. pema 25543. ataf apaf aff  
2462,cannibalized (buno: 168172 mcn: 16pldot) installed mrh accumulator iaw 150-300 and bled and serviced mrh accumulator iaw gai-000. oats reads 39c and time now is 517.3. mrh gages read 1500 psi and yellow. area secure and no fod found at time of inspection.
13234,removed and reinstalled mrh accumulator iaw a1-h60ra-150-300. performed full bleed and service iaw a1-h60ra-gai-000. serviced mrh accumulator using hsu 309 navy class 0. hydraulic side is in the yellow with 1400 psi nitrogen side. a/c flight hours now: 21
22813,removed and replaced aft swashplate scissors iaw a1-h60ra-150-300. area secure. fod free at time of inspection.
15598,"serviced main rotor head accumulator to 2nd green, 1500 psi, and ambiant temp 65 iaw gai-000. pema# 2828. area clean and fod check complete.  "
5083,
598,removed and replaced rh nlg tire iaw sss3240.  ataf apaf aff tfoa insp complied with.  used pema 67332.  
2346,adjusted all four pcrs to obtain 3 degree bias iaw 140-300. area secure and fod free.  
2724,"replaced landing gear knob iaw ietms sss3230. system op checks good. ataf, apaf, aff."
952,tire ordered for pool stock. refer to mcn: 2mf0ecx  jcn: fcc267005 for installation and ip's.
17349,removed and replaced blue lower pcr rod end iaw 150-300. pema: 6fksa76279. area secure and fod free. refer to jcn: by0053489.  
21595,removed and re-installed main rotor head de-ice distributor iaw: a1-h60ra-410-300. area fod free and secure at time of inspcetion. refer to mcn: 2ln31ah jcn: q20017213 for blade fold op check.  
11555,removed and replaced aft scissor upper bolt iaw a1-h60ra-150-300. ataf and area clean and fod free.
25953,removed and replaced aft scissor assy iaw a1-h60ra-150-300. all checks good. area secure and fod free at time of inspection.  
15841,installed yellow main rotor blade s/n:a237-04758 iaw:150-300. all torque checks good. area fod free and secure.  
8824,"serviced mrh accumulator to high green at 1450psi iaw gai-000. a/c time is now: 2906.8, oats: 18c. all checks good, area fod free and secure.  "
1402,removed and replaced rh mlg ib tire iaw sss 3240. ataf. apaf. aff.
14560,bled and serviced mrh accumulator to 1550 psi high green iaw gai-000 using hsu 251 navy class 0 and nan4 pzn305. oat:17 last serviced:1473.9  time now:1529.9 area fod free and secure.  
21963,"removed and replaced red inboard damper bearing in accordance with a1-h60ra-150-300. pema 8556. area is clean, secure and fod free. refer to mcn: 1lt15pn jcn: bl0134574 for 9-13 hr damper inspection. serviced main rotor head accumulator in accordance with"
12861,removed and replaced yellow pcl bonding wire iaw 150-300. area secured and fod free. refer to mcn: 1gthrn0 for 9-13 tq check.  
13699,removed blue main rotor blade iaw a1-h60ra-150-300. area secure and fod free at time of inspection.  
4028,"serviced mrh accum iaw gai-000. using hfsu s/n: 244. hyd: yellow, nit: 1300, temp: 16 degrees culsius. flight hours at time of servicing is 2861.5. area secure and fod check complete at time of inspection."
15405,adjusted main rotor black pcr -20 clicks iaw 150-300 and vib-200. area secure and fod free. used pema 4  
28032,"cleaned, treated, and painted pbr nut iaw 01-1a-509-2.  area fod free and secure.  pema s/n:  5lksa 54016"
4176,serviced mrh accumulator iaw gai-000. hydraulics: 2nd green. nitrogen: 1500psi. outside air temperature: 30 degrees c. a/c flight hours: 1608.2. area secure and fod free.
10837,removed and replaced red main rotor head damper assy in accordance with a1-h60ra-150-300.  refer to jcn: q70291071 for 9-13 tq checks.  area secure; fod free at the time of inspection.
4971,
9337,"removed and replaced blue blade schraeder valve iaw 150-300.  all checks good.  area clean, secure and fod free."
7513,removed and replaced mrh yellow blade droop stop iaw: a1-h60ra-150-300. area secure and fod check complete.
429,removed and replaced worn hardware on blue pitch lock actuator iaw a1-h60ra-150-300 area secured and fod free.  
2981,"removed and replaced lh mlg door strut i.a.w. sss 3210 ataf, apaf, aff  "
28024,
1870,replaced worn nose landing gear drag strut up line iaw sss 2921. sys 3 sample ran a navy class: 0 via pods method. ataf. apaf. aff.  
9600,replaced tail rotor pbr nut screws iaw 150-300. area secured and fod free.  
2830,replaced nose gear down and lock switch #1 iaw ietm task sss:3220. system op-checks good on apu power. pema 12 was used. ataf. apaf. aff.  
4593,removed and replaced lh nlg tire iaw sss 3240 ataf apaf aff  
27623,
1718, serviced mrh accumulator iaw gai-000. hydrualics middle high green. nitrogen 1600 psi. n2 000127. hsu 204 navy class 0. oat 20 degrees c. a/c hrs last serviced 1581.8. a/c hrs now 1640.7. area secure and fod free.  
19170,repaired the blue tail rotor boot with rtv iaw srm-000. area fod free and secure.  
25543,removed and replacee black tail rotor boot iaw 150-300.  area is clean and fod free.  ietms s/n:8hkka52758.  
15825,removed and replaced blue anti-flap assy iaw 150-300. refer to mcn: 1wdaffk jcn: q40172a29 for 9-13 flight hour torque checks. area secure and fod free.  
3502,removed and replaced black tail rotor  boot bridge iaw 150-300. area secure and fod free. refer to mcn:1h2kpk4 for fod search  
21839,serviced d/a iaw gai-000. checks good. adb filled out.  
25795,"removed broken safety wire, torque checked centering socket bolts and safety wired bolts iaw a1-h60ra-150-300. torque check passed. area fod free and secure at time of inspection. **qa required**  "
472,removed and reinstalled l/h outboard mlg tire iaw sss 3240 ataf apaf aff  
7416,recieved yellow disc springs.  refer to phase d maf mcn: 40b9qwe for removal and replacement.  area secure and fod free.
19009,"serviced mrh accumulator to second green, 1650 psi, at 29 degrees celcius iaw gai-000 ; flight hours 2517.4. no conditional required. pema 6fksa75955. area corrosion and fod free.  "
4783,"fwd scissor up and down play measures at ""0.009"" with a limit of ""0.033"" iaw a1-h60ra-150-300. fwd scissors side to side play measures at ""0.002"" with a limit of ""0.008"" iaw a1-h60ra-150-300. all checks good. area secure and fod free at time of inspection"
21889,"refer to mcn: 249v4cu/ jcn: b20317a56 for corrective action, correct work unit code, and for  remove/ install records.  "
12347,performed tail rotor weight adjustments iaw vib-200. total weight on quadrant 1 is 27 grams and 200 grams on quadrant 2. area fod free and secure at time of inspection.  
17397,removed and replaced yellow tail rotor blade boot iaw 150-300 wp 30. refer to jcn: b00038a00 mcn: nxk5 for the torque and cotter key of pcl nut.  
23979,removed and replaced rivets on yellow tail rotor blade tip cap iaw: a1-h60ra-150-300. area secure and fod free at the time of inspection.  
20301,"removed and reinstalled blue and yellow damper assy iaw 150-300. serviced mrh to yellow, nitrogen is at 1500 psi, oat 28 degrees, ac time now 1557.1. all checks good, area fod free and secure during time of inspection. refer to jcn: q60164538 for 9-13 tq "
10001,removed and replaced blue tail rotor boot iaw a1-h60ra-150-300. refer to mcn; 00cggre for blue pcl 9-13 flight hour torque check. area secure and fod free at time of inspection. used pema s/n: 6fksa76289.
5745,removed and replaced blue tail rotor boot iaw a1-h60ra-150-300. area is secure and fod free. pema 48847  
2453,replaced swashplate sperical bearings iaw 150-300. area clean and fod free. pema s/n: 2828  
837,"serviced lob mlg tire iaw sss 1210. pema used 67332. ataf, apaf, aff  "
3070,serviced da iaw gai-000.  
652,shimmed blue upper centering socket iaw 150-300. area secure and fod free. pema 6fksa76289.  
10133,"removed corrosion. cleaned and treated cuff to spar bolts iaw 01-1a-509.2. checks good. area secure and fod free at time of inspection. for cuff to spar conditional, refer to mcn: 00jdwbg, jcn: qg0275385. action taken code z.  "
13303,"serviced main rotor head accumulator iaw the gai-000 hyd; second green, nitrogen; 1500 psig, a/c hours; 1963.900. ambient temp: 84 deg f. area secure and fod free at time of inspection."
3456,inspected and measured forward lower scissor link up and down play iaw 150-300. play measured at 0.026. max limit is 0.033. play within limits. area secure and fod free. pema 6fksa76279
16317,serviced mrh accum to 2nd green iaw gai-000. nitrogen 1600 psi oat 29 degrees celcius. current flight hours: 1734.2. conditional required. area secure and fod free. pema 6cksa67548.
24831,"serviced mrh accum iaw gai-000. hyd side yellow, n2 side 1600 psi,  oat at 16¿c, current flt hrs at 2263.3. area secured and fod free.  refer to mcn: 00jfb37 for excessive leakage of damper conditional.  "
4879,sealed mrh dust cover iaw 150-300. area fod free and secure. pema:1 ***red dust cover**
4849,admin removed and replaced blue main rotor blade upper #6 tip cap screw iaw 150-300. utilized pema s/n 96844.
19218,added 126 grams to quad 1 and 226 grams to quad 4 to bring vibrations within limits iaw vib-200. refer to jcn: qg0353a01 for post phase ground vibes. area secure and fod free.  
11853,"removed and re-installed main rotor accumulator iaw a1-h60ra-150-300. bled and serviced main rotor accumulator iaw a1-h60ra-gai-000 and a1-h60ra-150-300. nitrogen: 1500 psi, hyd: yellow at 15 degrees celcius.  "
12241,serviced mrh iaw gai-000. hyds at 2nd green. nitrogen at 1500 psi. oat at 20c. flight hours at 2656.6. area clean and fod free. pema 6fksa75955.  
6292,"performed post phase initial ground turn iaw: a1-h6rs-vib-200, all vibes are in limits. track spread is in limits.  "
10738,"serviced hyd fluid mrh accumulator iaw gai-000. hyds yellow nitr 1600 psi, oat 28 degrees celcius. current flight hours: 1682.100. pema 26120. area secure and fod free.  "
25640,removed and replaced red lower centering socket iaw 150-300. area is secure and fod free. refer to jcn: pq5079a00 for install of spindle and blades.  
22412,removed and replaced yellow elastomeric bearing iaw 150-300. all checks good. area secure and fod free at time of inspection. refer to mcn: 46sjfu2 for ground vib maf.  refer to mcn: 46sjgi1 for journal bearing 9-13 inspection.
16539,inspected aft scissor iaw 150-300. upper link play measured at 0.005. lower link play measured at 0.004. max limit is 0.008. both upper and lower link within limits. area secure and fod free. pema 6cksa67524
4086,removed and replaced rh mlg shock strut iaw sss. ataf apaf aff. pema 02013 used. sample ran on system 3 via pods. hydraulic sample ran a navy class 1 iaw navair 01-1a-17   ****this is a backfitted maf for vmm-166. all work was performed by cpl holyoke and
2688,serviced mrh accumulator to 1500psi yellow at 25 celcius iaw gai-000. current a/c time 3908.1. refer to jcn:q60183304 for excessive damper leakage conditional. area secured and fod free.  
6860,repaired hole with rtv adhesive on blue tail rotor boot iaw srm-000. hole measured at 11/32 in. limit is 1 1/2 in. area secure and fod free.
23331,performed tail rotor bias iaw a1-h60ra-140-300. area secured and fod free. pema sn: 48100. check failed. refer to mcn: 1lt0plg jcn:bl0255a01 for adjustments.  
3784,broke safety wire and re tq'd jamnut iaw sss 3210 and performed jack and cycle. ataf apaf aff.  
23345,removed and replaced lockpin washer iaw 150-300. pema: 7923. area secure and fod free.
25544,all parts recieved. placed in w/c 110 cage.
2369,installed 167 grams in quadrant 3 and 22 grams in quadrant 4 iaw vib-200. area secure and fod free. ataf.  
27004,removed and replaced tail rotor indexer iaw 260-300. op checks good iaw 260-200. area fod free and secure at time of inspection.  
11081,inspected mrh accum iaw gai-000. hyds is 1/2 way in the first green. mrh is within limits. area secure and fod free. ietm sn 6fksa75963.  
227,"replaced lh nlg tire iaw sss 3240. ataf, apaf, aff. used pema 67371  "
4322,replaced lh ib tire iaw sss 3240 pema 3.  
18149,measured gouge in tail gearbox blade positioner cam iaw; a1-h60ra-150-300.  gouge measured at .007'.  limit is .015'.  within limits.  area secure and fod free.  pema s/n: 6734. previously signed by ad1 flores paper maf located in historical adb.
18528,serviced bim to 10 psi of nitrogen with oat of 70 degrees f iaw a1-h60ra-150-300. area clean and fod free. pema sn 6fksa75973.  ***pressure before servicing 8.75***  
1911,removed and replaced rh ib mlg tire iaw sss 3240. used pema 67326. ataf apaf aff  
2027,no maint perform admin maf  
18462,"serviced mrh accumulator iaw gai-000. hyds:high green, n2:1500 psi, and oat 20 degrees celcius. a/c hours of 2725.9. area secure and fod free at the time of completion.  "
17239,removed and replaced  black main rotor head damper inboard bearing iaw 150-300. pema sn 2828. ataf. area clean and fod free.  
25825,replaced yellow elasto iaw: 150-300. area secure and fod free.
1997, removed and replaced blue main rotor head damper assy iaw a1-h60ra-150-300. all checks good. area secure and fod free at time of inspection.  
23981,"serviced main rotor head accumulator iaw gai-000. hyds on yellow, n2 at 1600 psi, oat 22¿c, aircraft hours: 2374.4. no conditional requiered. area secured and fod free. pema 6fksa75955.  "
23292,adjusted black tail rotor paddle zip tie iaw 150-300. area clean ataf and fod free.  
18237,inspected mrh iaw gai-000. mrh is within limits. area secure and fod free. ietm sn 6fksa75963.  
4501,inspected and repaired red tail rotor boot iaw srm-000. area fod free and secure.  
10167,"all yellow fold hinge gear parts received. refer to phase ""d"" mcn: 26xj7y9 jcn: qy0063a00 for installation."
3755,"replaced lh nlg tire iaw sss 3240. used pema 76883. ataf, apaf, aff.  "
26426,removed and replaced red lower pitch control rod end iaw 150-300. area secure and fod free.pema 6fksa76035. refer to jcn:by0134100 for 9-13 torque check.  
3274,"installed tb10 in accordance with 410-300.  op checks sat in accordance with 150-200.  the area is secure, clean, and free of fod.  "
22736,added 150 grams to quad 2 and 104 grams to quad 3 iaw a1-h60rs-vib-200. area secure and fod free. pema s/n: 48100  
14719,"yellow middle spindle ziptie good, tightend ziptie iaw a1-h60ra-150-300. area fod free and secure at time of inspection.  "
5185,removed and replaced blue elastomeric bearing iaw 150-300. refer to phase d inspection jcn: q60220a000 for elastomeric bearing installation. area secure and fod free.
19429,retorqued main rotor head lower pressure plate iaw 150-300. refer to mcn: 40b9pwn for 4th attempt 9-13 zone 2 torque check. area is secure and fod inspection is complete.  
2147,"serviced mrh accumulator iaw gai-000. navy class 1. hydraulics: low green, nitrogen: 1650 psi. oat 27 degrees c. aircraft time now: 2238.7 hrs. area secure and fod free.  "
829,"removed and replaced lh inbd mlg tire assy iaw sss 3240. s/n:6272,6215,2443"
4981,corrosion within limits iaw srm-000. pema 4ktya45034. ataf. area clean and fod free.  
2898,"refer to mcn:1oo1597, jcn: ghd84546 for installation of 901-080-201-235 hydraulic tube.  "
3087,removed and replaced rh ib tire iaw sss 3240 pema s/n 06495 cameo version 1.3.7 ietm date 16 mar 18 erac 1506. area free of fod.  
17875,removed and reinstalled mrh distributer iaw 410-300. area secure and fod free.  
16966,serviced mrh accumulator to 1450 psi high green at 20 degrees celcius iaw gai-000. all checks good. area fod free and secure. aircraft hours now: 2980.1.  
7572,added weights 93 grams on quadrant 2 and 13 grams on quadrant 3 iaw vib-200. area fod free and secured at time of inspection.  
17338,inspected mrh accum iaw gai-000. mrh accum is within limits. no futher action required. area corrosion and fod free. ietm sn 6fksa75963.  
1916,removed and replaced fwd scissor assy iaw 150-300. area fod free and secure.  
12708,"serviced mrh accum to second green, 1500 psi, oat 23 degree celsius iaw a1-h60ra-150-300, area secure and fod free. a/c hours 1281.9  "
19859,serviced mrh iaw gai-000. hyd: yellow n2:1550 oat: 18. all checks good. area secure and free of fod. a/c time 970.2  
1424,re-seated and re-connected p1 on ecs controller. op checked good iaw sss 3200. ataf apaf aff.  
3608,"removed and replaced main rotor accumulator iaw 150-300. performed bleed and service iaw gai-000. serviced to 1450 psi high green using hsu s/n: 210 navy class 3. a/c time now. 3,272.1. area is fod free and secure.  "
27824,
27513,
16724,adjusted yellow pcr up 1 click in the positive direction and black 2 clicks in the negative direction iaw a1-h60rs-vib-200. area checked fod free and secure.  refer to mcn: 27pcnan for 9-13 hour torque check. ***correction: maf should be checked check fli
27521,
4282,"serviced main rotor head iaw gai-000. navy class:1 , hyds:high green, nitrogen:1400 psi, oats:-2 celsius, ac hours:2688.2. area secure and fod free.  "
16470,"performed post phase ""d"" ground vibe analysis iaw vib-200. all checks good. area secure and fod free."
1018,serviced tires iaw sss 1210. used pema 67330. ataf apaf aff
14852,removed and replaced both red spindle lockpins iaw a1-h60ra-150-300. pema s/n: 5fkya30737. area secure and fod free.  
20708,removed and replaced mr red blade lower centering socket plate assy iaw 150-300. area is fod free and secured. pema s/n: 6cksa67512  
251,installed shims on aft scissor iaw 150-300. all checks good. area fod free and secure.  
1739,replaced rh nose landing gear tire in accordance with sss 3240 used pema 5678 ataf apaf aff
6524,removed black mrb tip cap due to cannibalization of mr blade iaw 150-300. no maintenance was performed. area fod free and secure.  
27858,
3118,performed bleed and service of main rotor head accumulator system iaw gai-000.(hyd:yellow/ nitrogen:1200psi) area secure and fod check complete.  
15159,serviced mrh accumulator iaw a1-h60ra-gai-000. hydraulic gauge is in 2nd green. nitrogen pressure is 1650 psi. ambient air temp is 25 degrees. current flight hours is 517.8 . area secure and fod free. ietms s/n 66477.  
2515,verified that main rotor head accumulator is serviced  within limits iaw gai-000. hydraulic side is at mid high green. area secure and fod free.  
3050,removed and replaced main rotor head centering sockets iaw 150-300.  area secure and no fod found at time of inspection.  pema s/n 6cksa67610  
3186,"removed and replaced lh mlg tire assy iaw sss 3240. tq sn 6272,6215,2443  "
4521,replaced rh main landing gear strut iaw sss 3210 pema 01425. ataf apaf aff.  
16003,"removed corrosion from red mrh damper bracket h/w. cleaned, treated, and preserved iaw srm-300. area secure and fod free at the time of inspection.  "
3239,"serviced all six tires iaw sss 3210. ataf, apaf, aff. used pema 67339  "
8755,removed and replaced  blue blade fold motor iaw:a1-h60ra-150-300. all checks good. area secured and fod free at time of inpsection. pema s/n:48116
7710,safety wired all upper centering sockets iaw a1-h60ra-150-300. area secure and fod check complete.  
1752,"verified mrh accumulator iaw gai-000 at hyd level on low green, nitrogen pressure 1500 psi, and oat 14 degrees celcius. area secure and fod free at the time of completion. **no service required**  "
568,work order closed out due to transfer new mcn: 4eb13ib 
1998,removed and replaced landing gear control unit iaw ietms sss: 3230 using pema 18. system op checks good. ataf apaf aff.  
8534,removed and replaced forward scissor upper link iaw a1-h60ra-150-300. area secure and fod free.
16946,performed 3 degree bias check iaw a1-h60rs-vib-200. adjusted blue blade from 2.6 to 3.0. adjusted yellow blade from 2.6 to 3.0. adjusted black blade from 2.5 to 3.0. did not need to adjust red tail rotor blade. area fod free and secure at time of inspecti
177,refer to jcn: fcc270110 mcn: 2mf0ekf for corrective action. ataf apaf aff.
3365,serviced left hand inboard  main landing gear tire to 120 psi iaw sss 1210. ataf apaf aff  
18790,"verified aft scissor measures 0.013. measurements within limits. scissor axial play max limit is 0.033 inch iaw: a1-h60ra-150-300. area fod free and secured, used pema s/n: 6fksa76279.  "
12108,removed and replaced spherical bearing iaw a1-h60ra-150-300. area secured and fod free. pema sn: 48100.  
5043,
3332,treated minor surface corrosion on the rh main landing gear supporting hardware iaw 01-1a-509. apaf ataf aff.  
8816,measured aft scissor at .015'' and the limit is .033'' iaw a1-h60ra-150-300. all checks good. area secure and fod free at time of inspection. used pema s/n: 6cksa67512.  
95,removed and replaced lh mlg tire iaw sss 3240 ataf apaf aff.  
206,removed and replaced lh nlg tire/wheel assy due to uneven wearing of nlg tires. ataf. apaf. aff.  
1748,serviced main rotor head accumulator to 1500 psi // high green with hsfu s/n:300 and nitrogen portable cylinder s/n: 000006 iaw a1-h60ra-gai-000. outside air temp: 12  celsius. area secure and fod check complete.  
5615,removed and replaced damaged part of black tail rotor abrasion strip iaw srm-000. area secure and fod-free.
6334,removed and replaced reduction gear housing iaw 150-300. op check good iaw 150-200. area secure and fod free.  
17127,"performed the ajustment of the yellow pcr +3 clicks, blue-5 clicks, and red+2 clicks iaw vib-200. area secure and fod free.  "
2184,removed and replaced tail rotor gear box output accelerometer iaw 110-300. system op checks 4.0 on deck iaw 110-200. area secure and fod free.  
3297,"replaced left hand nose landing gear tire iaw sss3240. ataf, apaf, aff. used pema 67371.  "
14363,removed and reinstalled main rotor head indexer iaw 150-300. refer to mcn: 1xlm514 jcn: q60158a00 for full op check. area secure and fod free.  
1875,performed full bleed and serviced on mrh accumulator iaw gai-000. hyd at top of second green. nitro at 1550 psi. oat is 30 degrees celcius. a/c time now: 4081.3. pema 18899 area secure and fod free.  
26839, maf not needed refer to mcn: 46sj8y4 for mrb tip cap admin removal due to ool blade.  
